时间(s),吸气压力(bar),吸气温度(℃),排气压力(bar),排气温度(℃),气冷中间压力(bar),气冷中间温度(℃),气冷出口压力(bar),气冷出口温度(℃),蒸发器进口压力(bar),蒸发器进口温度(℃),蒸发器出口压力(bar),蒸发器出口温度(℃),压缩机功耗(kW),一级制热量(kW),二级制热量(kW),制热量(kW),COP,质量流量(kg/s),进风温度(℃),中间温度(℃),出风温度(℃),室内风量(kg/min),环境温度(℃),室外风量(m/s),吸气比焓(kJ/kg),排气比焓(kJ/kg),气冷中间比焓(kJ/kg),气冷出口比焓(kJ/kg),蒸发器进口比焓(kJ/kg),蒸发器出口比焓(kJ/kg)
0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,3.4809161120649819e+001,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,0.0000000000000000e+000,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,2.8516423588603010e+002,2.8516423588603010e+002,2.8516423588603010e+002,2.8516423588603010e+002,2.8516423588603010e+002,2.8516423588603010e+002
1.0000000000000002e+001,1.9294199323777114e+001,-1.2642997282889837e+001,5.3836616904279467e+001,6.8963159993758893e+001,5.3709542844986061e+001,1.7320462275930595e+001,5.3491676121123035e+001,1.2040111795278278e+001,1.9930284486219893e+001,-1.5807235718505865e+001,1.9777783255285346e+001,-1.9614533946742256e+001,6.6446586132973884e-001,9.3256836929421816e-001,1.5970171598558129e+000,2.5295855291500313e+000,3.8069458137213967e+000,9.2626506865041234e-003,0.0000000000000000e+000,1.1816215745488762e+001,1.7043666195864887e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.4713032060174652e+002,5.0298179174795700e+002,4.0230128453062343e+002,2.2988658231339522e+002,4.4199159234081469e+002,4.3746157921249659e+002
1.0000000000000021e+001,1.9294199323777114e+001,-1.2642997282889837e+001,5.3836616904279481e+001,6.8963159993758495e+001,5.3709542844986082e+001,1.7320462275930652e+001,5.3491676121123056e+001,1.2040111795278278e+001,1.9930284486219886e+001,-1.5807235718505638e+001,1.9777783255285339e+001,-1.9614533946742227e+001,6.6446586132973984e-001,9.3256836929421327e-001,1.5970171598558429e+000,2.5295855291500562e+000,3.8069458137214283e+000,9.2626506865041269e-003,0.0000000000000000e+000,1.1816215745488762e+001,1.7043666195865057e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.4713032060174652e+002,5.0298179174795706e+002,4.0230128453062406e+002,2.2988658231339267e+002,4.4199159234081469e+002,4.3746157921249642e+002
2.0000000000000004e+001,1.7965313939863833e+001,-2.2115706254983479e+001,5.7517684219959179e+001,6.8769094537214073e+001,5.7405096207847336e+001,2.1957273319922933e+001,5.7181778236582339e+001,1.0926449847980848e+001,1.8555714317409652e+001,-2.1880828848403183e+001,1.8406063010063754e+001,-2.0338164552034016e+001,7.0357266544878982e-001,7.3237538081564924e-001,1.6794832397660358e+000,2.4118586205816852e+000,3.4280163784407773e+000,8.8229413046658108e-003,0.0000000000000000e+000,1.4516166465819765e+001,2.1139690784383163e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3830599879781539e+002,4.9924426432358462e+002,4.1623618849876311e+002,2.2588206714947120e+002,3.2863465376920800e+002,4.3955484692845442e+002
2.0000000000000043e+001,1.7965313939863826e+001,-2.2115706254983451e+001,5.7517684219959186e+001,6.8769094537214073e+001,5.7405096207847350e+001,2.1957273319923104e+001,5.7181778236582339e+001,1.0926449847980848e+001,1.8555714317409652e+001,-2.1880828848403183e+001,1.8406063010063754e+001,-2.0338164552034016e+001,7.0357266544878971e-001,7.3237538081564901e-001,1.6794832397660353e+000,2.4118586205816843e+000,3.4280163784407769e+000,8.8229413046658090e-003,0.0000000000000000e+000,1.4516166465819765e+001,2.1139690784383163e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3830599879781539e+002,4.9924426432358462e+002,4.1623618849876311e+002,2.2588206714947120e+002,3.2863465376920738e+002,4.3955484692845442e+002
3.0000000000000004e+001,1.7456355692350108e+001,-2.3493658754719462e+001,5.7120421370687879e+001,6.9016453524842348e+001,5.7009768049991003e+001,2.2562397231496107e+001,5.6766474318695771e+001,1.2972166878826783e+001,1.8061953555481882e+001,-2.2739632061317735e+001,1.7885870241928117e+001,-2.3050069197621156e+001,7.0094545635387917e-001,6.8927641208744328e-001,1.6107594207168168e+000,2.3000358328042600e+000,3.2813335359478590e+000,8.5805220299105065e-003,0.0000000000000000e+000,1.4932643376447572e+001,2.1777838121294906e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3772316277253964e+002,4.9994732887064146e+002,4.1961697021825159e+002,2.3189419355012657e+002,2.7946198082971119e+002,3.8406757967472362e+002
3.0000000000000064e+001,1.7456355692350108e+001,-2.3493658754719462e+001,5.7120421370687872e+001,6.9016453524843485e+001,5.7009768049990996e+001,2.2562397231495993e+001,5.6766474318695771e+001,1.2972166878828261e+001,1.8061953555481882e+001,-2.2739632061317735e+001,1.7885870241928117e+001,-2.3050069197621156e+001,7.0094545635388983e-001,6.8927641208745338e-001,1.6107594207168026e+000,2.3000358328042561e+000,3.2813335359478035e+000,8.5805220299105048e-003,0.0000000000000000e+000,1.4932643376447572e+001,2.1777838121294906e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3772316277253964e+002,4.9994732887064242e+002,4.1961697021825137e+002,2.3189419355012797e+002,2.7946198082971114e+002,3.8406757967472362e+002
4.0000000000000007e+001,1.7402909324610537e+001,-2.3660473284469731e+001,5.6245065496471796e+001,6.7711194523702773e+001,5.6132859726977145e+001,2.2346892352881184e+001,5.5879112322329092e+001,1.5653236027130561e+001,1.8011411317840839e+001,-2.2828510487591501e+001,1.7835141707715465e+001,-2.3139922321054087e+001,6.9198389619714573e-001,6.6366912188876215e-001,1.5578939752719949e+000,2.2215630971607569e+000,3.2104260075552902e+000,8.5921972183308180e-003,0.0000000000000000e+000,1.4792283176886372e+001,2.1561416904451391e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3763585713073871e+002,4.9909444319121070e+002,4.2185353437304798e+002,2.4053856502523749e+002,2.8288742780315050e+002,3.8881172979920512e+002
4.0000000000000085e+001,1.7402909324610537e+001,-2.3660473284469731e+001,5.6245065496471788e+001,6.7711194523702318e+001,5.6132859726977138e+001,2.2346892352881298e+001,5.5879112322329085e+001,1.5653236027130788e+001,1.8011411317840839e+001,-2.2828510487591501e+001,1.7835141707715465e+001,-2.3139922321054087e+001,6.9198389573105468e-001,6.6366912144174472e-001,1.5578939742226778e+000,2.2215630956644228e+000,3.2104260075553142e+000,8.5921972125434787e-003,0.0000000000000000e+000,1.4792283176886315e+001,2.1561416904451391e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3763585713073871e+002,4.9909444319121070e+002,4.2185353437304775e+002,2.4053856502523561e+002,2.8288742780315062e+002,3.8881172979920518e+002
5.0000000000000007e+001,1.7427490139160955e+001,-2.3628139163641976e+001,5.5361526268538611e+001,6.6174493185678898e+001,5.5246945744885956e+001,2.1890207180774894e+001,5.4982407721773875e+001,1.7897293651888333e+001,1.8035957194531036e+001,-2.2785324111740152e+001,1.7864512516864192e+001,-2.3087876511201728e+001,6.8219942039567383e-001,6.4553112127616463e-001,1.5096062971005892e+000,2.1551374183767540e+000,3.1591018021193569e+000,8.6497071521662791e-003,0.0000000000000000e+000,1.4538055891945589e+001,2.1127367383712397e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3762114816119100e+002,4.9796036785232673e+002,4.2332996593004958e+002,2.4880309807851597e+002,2.9245800398075340e+002,4.0020861780905682e+002
5.0000000000000107e+001,1.7427490139160955e+001,-2.3628139163641976e+001,5.5361526268538604e+001,6.6174493185678102e+001,5.5246945744885956e+001,2.1890207180774723e+001,5.4982407721773868e+001,1.7897293651886287e+001,1.8035957194531036e+001,-2.2785324111740152e+001,1.7864512516864192e+001,-2.3087876511201728e+001,6.8219941994719768e-001,6.4553112085179321e-001,1.5096062961081889e+000,2.1551374169599820e+000,3.1591018021193711e+000,8.6497071464800568e-003,0.0000000000000000e+000,1.4538055891945589e+001,2.1127367383712397e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3762114816119100e+002,4.9796036785232621e+002,4.2332996593004981e+002,2.4880309807851643e+002,2.9245800398075357e+002,4.0020861780905693e+002
6.0000000000000007e+001,1.7440277866765939e+001,-2.3614254988769460e+001,5.5191786109128124e+001,6.5828578346835627e+001,5.5076923189972199e+001,2.1683007385637552e+001,5.4814819113573783e+001,1.8179606296991437e+001,1.8041094323951125e+001,-2.2776291139277646e+001,1.7878265440473349e+001,-2.3063527383012939e+001,6.7990043679879775e-001,6.4466233971075315e-001,1.4676232101438893e+000,2.1122855498546427e+000,3.1067571596217833e+000,8.6642285825714628e-003,0.0000000000000000e+000,1.4452093672626631e+001,2.0916108144998645e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3760986956252100e+002,4.9767807839483652e+002,4.2327303084016739e+002,2.5388423919447050e+002,3.0134606664745701e+002,4.1479870491087649e+002
6.0000000000000128e+001,1.7440277866765939e+001,-2.3614254988769460e+001,5.5191786109128124e+001,6.5828578346835627e+001,5.5076923189972199e+001,2.1683007385637552e+001,5.4814819113573783e+001,1.8179606296991437e+001,1.8041094323951125e+001,-2.2776291139277646e+001,1.7878265440473349e+001,-2.3063527383012939e+001,6.7990043679879775e-001,6.4466233971075315e-001,1.4676232101438891e+000,2.1122855498546422e+000,3.1067571596217824e+000,8.6642285825714628e-003,0.0000000000000000e+000,1.4452093672626631e+001,2.0916108144998645e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3760986956252100e+002,4.9767807839483652e+002,4.2327303084016739e+002,2.5388423919447052e+002,3.0134606664745718e+002,4.1479870491087678e+002
7.0000000000000014e+001,1.7434691950706160e+001,-2.3631976805496834e+001,5.5063904813135828e+001,6.5620544505606119e+001,5.4948760803792872e+001,2.1580534956484712e+001,5.4685107064513119e+001,1.8079484223614372e+001,1.8030326014016776e+001,-2.2795227946460784e+001,1.7872969808192579e+001,-2.3072901516762983e+001,6.7847862331736608e-001,6.4275128786224589e-001,1.4501574965049897e+000,2.0929087843672356e+000,3.0847085117201307e+000,8.6680480032396562e-003,0.0000000000000000e+000,1.4382268823076231e+001,2.0816076278634171e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3760038980513724e+002,4.9753388265117292e+002,4.2338209119570109e+002,2.5608289119553984e+002,3.0673018024839121e+002,4.2516916171026594e+002
7.0000000000000142e+001,1.7434691950706160e+001,-2.3631976805496834e+001,5.5063904813135828e+001,6.5620544505606119e+001,5.4948760803792872e+001,2.1580534956484712e+001,5.4685107064513119e+001,1.8079484223614372e+001,1.8030326014016776e+001,-2.2795227946460784e+001,1.7872969808192579e+001,-2.3072901516762983e+001,6.7847862331736608e-001,6.4275128786224589e-001,1.4501574965049897e+000,2.0929087843672356e+000,3.0847085117201307e+000,8.6680480032396562e-003,0.0000000000000000e+000,1.4382268823076231e+001,2.0816076278634171e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3760038980513724e+002,4.9753388265117292e+002,4.2338209119570109e+002,2.5608289119553984e+002,3.0673018024839132e+002,4.2516916171026594e+002
8.0000000000000014e+001,1.7426483368230230e+001,-2.3650459732573239e+001,5.4966524361881653e+001,6.5477206739151882e+001,5.4851241979274185e+001,2.1499258519453463e+001,5.4586924505819105e+001,1.8003575556432509e+001,1.8019730302541156e+001,-2.2813869198624388e+001,1.7864899873075469e+001,-2.3087190521752945e+001,6.7738017782824977e-001,6.4132702052644630e-001,1.4408887173957172e+000,2.0822157379221635e+000,3.0739248151576568e+000,8.6680021771728729e-003,0.0000000000000000e+000,1.4326187441955710e+001,2.0736511419153317e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3759580655761158e+002,4.9744379640823473e+002,4.2345592614496036e+002,2.5722515140077672e+002,3.0942756274906407e+002,4.3036338548043892e+002
8.0000000000000171e+001,1.7426483368230230e+001,-2.3650459732573239e+001,5.4966524361881653e+001,6.5477206739151882e+001,5.4851241979274185e+001,2.1499258519453463e+001,5.4586924505819105e+001,1.8003575556432509e+001,1.8019730302541156e+001,-2.2813869198624388e+001,1.7864899873075469e+001,-2.3087190521752945e+001,6.7738017782824977e-001,6.4132702052644630e-001,1.4408887173957172e+000,2.0822157379221635e+000,3.0739248151576568e+000,8.6680021771728729e-003,0.0000000000000000e+000,1.4326187441955710e+001,2.0736511419153317e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3759580655761158e+002,4.9744379640823473e+002,4.2345592614496036e+002,2.5722515140077672e+002,3.0942756274906407e+002,4.3036338548043904e+002
9.0000000000000014e+001,1.7418118191399568e+001,-2.3667376661668044e+001,5.4899908788279177e+001,6.5388184501590615e+001,5.4784573275356138e+001,2.1440580526460678e+001,5.4519959432779864e+001,1.7951741098793491e+001,1.8010096534846060e+001,-2.2830824930444493e+001,1.7856550534558288e+001,-2.3101979203418836e+001,6.7662370126556293e-001,6.4039313649816221e-001,1.4355477990954784e+000,2.0759409355936405e+000,3.0680878185478608e+000,8.6661197587313832e-003,0.0000000000000000e+000,1.4286828178946337e+001,2.0679010423701982e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3759351091682356e+002,4.9739395967849373e+002,4.2349778072793788e+002,2.5784719672243534e+002,3.1097708512003624e+002,4.3322406025193914e+002
9.0000000000000199e+001,1.7418118191399568e+001,-2.3667376661668044e+001,5.4899908788279177e+001,6.5388184501590615e+001,5.4784573275356138e+001,2.1440580526460678e+001,5.4519959432779864e+001,1.7951741098793491e+001,1.8010096534846060e+001,-2.2830824930444493e+001,1.7856550534558288e+001,-2.3101979203418836e+001,6.7662370126556293e-001,6.4039313649816221e-001,1.4355477990954784e+000,2.0759409355936405e+000,3.0680878185478608e+000,8.6661197587313832e-003,0.0000000000000000e+000,1.4286828178946337e+001,2.0679010423701982e+001,6.0000000000000000e+000,-2.0000000000000000e+001,2.5000000000000000e+000,4.3759351091682356e+002,4.9739395967849373e+002,4.2349778072793788e+002,2.5784719672243534e+002,3.1097708512003629e+002,4.3322406025193914e+002
