T_amb,charge_g,COP,Q_cooling_W,COP_max,plateau_charge,threshold_95,label,P_suc,P_dis,P_gc_in,P_gc_out,P_valve_in,P_eva_in,P_eva_out,T_suc,T_dis,T_gc_out,T_eva_in,T_eva_out
30,400,1.7,3978.0,1.94,800.0,1.843,0,2.8,8.18,8.053,8.172,7.953,3.619,3.149,33.0,134.13,32.21,2.16,18.19
30,500,1.89,4818.25,1.94,800.0,1.843,1,3.05,8.88,8.835,8.727,8.648,3.741,3.386,29.26,130.44,27.15,3.05,6.86
30,600,1.93,4932.02,1.94,800.0,1.843,1,3.16,8.94,8.929,8.763,8.672,3.787,3.489,26.6,123.23,23.21,3.41,0.55
30,700,1.93,4913.42,1.94,800.0,1.843,1,3.14,8.93,8.918,8.785,8.702,3.738,3.456,26.34,124.5,22.05,2.78,0.16
30,800,1.94,4953.37,1.94,800.0,1.843,1,3.2,8.95,8.91,8.805,8.693,3.798,3.516,26.27,123.43,22.41,5.92,1.47
30,900,1.93,4861.0,1.94,800.0,1.843,1,3.21,8.83,8.83,8.678,8.58,3.803,3.527,25.92,122.45,22.2,3.22,0.83
30,1000,1.85,4660.48,1.94,800.0,1.843,1,3.29,8.82,8.791,8.631,8.515,3.879,3.613,17.96,108.4,18.42,4.01,1.85
35,400,1.57,3861.15,1.72,500.0,1.634,0,3.21,8.72,8.711,8.631,8.496,3.901,3.532,35.73,135.72,36.76,1.44,18.49
35,500,1.72,4579.61,1.72,500.0,1.634,1,3.34,9.38,9.38,9.252,9.155,3.92,3.635,31.79,133.12,28.37,4.72,2.15
35,600,1.71,4471.08,1.72,500.0,1.634,1,3.4,9.25,9.247,9.139,9.015,3.955,3.687,31.22,129.86,27.5,4.91,2.53
35,700,1.72,4503.47,1.72,500.0,1.634,1,3.41,9.26,9.266,9.159,9.055,3.936,3.695,31.01,130.85,26.61,4.69,2.5
35,800,1.7,4402.34,1.72,500.0,1.634,1,3.44,9.15,9.161,9.042,8.928,3.972,3.717,31.15,128.78,27.48,5.01,2.86
35,900,1.66,4307.0,1.72,500.0,1.634,1,3.49,9.13,9.103,9.006,8.847,4.012,3.779,26.86,121.21,24.37,5.28,3.31
35,1000,1.54,4138.61,1.72,500.0,1.634,0,3.57,9.42,9.385,9.244,9.063,4.159,3.901,6.14,93.48,18.54,6.52,4.59
