T_amb,charge_g,compressor_speed,EXV_steps,COP,m_dot,T_suc,T_dis,T_gc_out,T_eva_in,T_eva_out,P_suc,P_dis,P_gc_in,P_gc_out,P_valve_in,P_eva_in,P_eva_out,_source_file,_source_col,T_amb_nom,label,COP_max_group,charge_COP_max
30.3,500,5000,275.0,1.88728946337642,106.5,29.96,130.44,27.15,3.05,6.86,3.05,8.88,8.835,8.727,8.648,3.741,3.386,30℃最优COP工况.xlsx,3,30,1,1.9402154328241283,1.88728946337642
30.1,600,5000,272.0,1.931852722287505,113.4,26.6,123.23,23.21,3.41,0.55,3.16,8.94,8.929,8.763,8.672,3.787,3.489,30℃最优COP工况.xlsx,4,30,1,1.9402154328241283,1.931852722287505
30.0,700,5000,270.0,1.924567175871524,112.0,26.34,124.5,22.05,2.78,0.16,3.14,8.93,8.918,8.785,8.702,3.738,3.456,30℃最优COP工况.xlsx,5,30,1,1.9402154328241283,1.924567175871524
30.0,800,5000,271.0,1.9402154328241283,113.6,26.27,123.43,22.41,3.37,0.83,3.2,8.95,8.91,8.805,8.693,3.798,3.516,30℃最优COP工况.xlsx,6,30,1,1.9402154328241283,1.9402154328241283
29.8,900,5000,271.0,1.9301171332142149,113.5,25.92,122.45,22.2,3.22,0.83,3.21,8.83,8.83,8.678,8.58,3.803,3.527,30℃最优COP工况.xlsx,7,30,1,1.9402154328241283,1.9301171332142149
29.9,400,5000,380.0,1.6956521739130437,95.4,33.0,134.13,32.21,2.16,18.19,2.8,8.18,8.053,8.172,7.953,3.619,3.149,实验数据记录表 - 20191031-1101.xlsx,2,30,0,1.9402154328241283,1.6956521739130437
30.0,500,5000,300.0,1.8530716586151368,115.3,29.56,121.68,28.18,4.26,3.92,3.14,8.6,8.534,8.407,8.294,3.855,3.489,实验数据记录表 - 20191031-1101.xlsx,4,30,1,1.9402154328241283,1.88728946337642
30.1,500,5000,270.0,1.8616425120772944,102.1,29.68,135.45,26.05,2.31,9.49,2.97,9.04,8.899,8.89,8.815,3.665,3.301,实验数据记录表 - 20191031-1101.xlsx,5,30,1,1.9402154328241283,1.88728946337642
30.1,600,5000,275.0,1.9228310502283104,115.1,27.14,121.6,24.43,3.76,0.8,3.18,8.81,8.824,8.642,8.54,3.82,3.505,实验数据记录表 - 20191031-1101.xlsx,13,30,1,1.9402154328241283,1.931852722287505
29.9,600,5000,300.0,1.906764645846091,119.7,28.06,116.98,26.92,4.67,1.55,3.24,8.54,8.534,8.36,8.221,3.923,3.586,实验数据记录表 - 20191031-1101.xlsx,14,30,1,1.9402154328241283,1.931852722287505
30.1,600,5000,270.0,1.911424154589372,113.1,26.0,124.46,22.18,3.2,0.39,3.15,9.04,9.012,8.896,8.804,3.765,3.475,实验数据记录表 - 20191031-1101.xlsx,15,30,1,1.9402154328241283,1.931852722287505
30.0,700,5000,330.0,1.898467908902692,119.1,28.39,116.43,27.5,4.68,1.71,3.26,8.46,8.454,8.277,8.137,3.92,3.608,实验数据记录表 - 20191031-1101.xlsx,22,30,1,1.9402154328241283,1.924567175871524
30.0,700,5000,275.0,1.906082985904308,113.9,27.27,121.58,24.01,3.32,0.57,3.17,8.74,8.719,8.578,8.469,3.798,3.494,实验数据记录表 - 20191031-1101.xlsx,23,30,1,1.9402154328241283,1.924567175871524
30.0,700,5000,268.0,1.9089971014492757,110.4,25.73,126.31,21.29,2.55,-0.04,3.12,9.07,9.076,8.929,8.839,3.711,3.434,实验数据记录表 - 20191031-1101.xlsx,25,30,1,1.9402154328241283,1.924567175871524
29.9,800,5000,300.0,1.927710144927536,121.3,27.62,115.23,26.49,4.87,2.08,3.3,8.51,8.456,8.324,8.086,3.955,3.654,实验数据记录表 - 20191031-1101.xlsx,31,30,1,1.9402154328241283,1.9402154328241283
30.2,800,5000,275.0,1.9230454635695848,116.1,26.93,120.69,23.36,3.78,1.15,3.22,8.76,8.76,8.597,8.475,3.852,3.551,实验数据记录表 - 20191031-1101.xlsx,32,30,1,1.9402154328241283,1.9402154328241283
30.0,800,5000,268.0,1.9089549961861172,112.2,25.51,125.76,20.9,3.02,0.59,3.18,9.14,9.142,9.001,8.923,3.771,3.489,实验数据记录表 - 20191031-1101.xlsx,34,30,1,1.9402154328241283,1.9402154328241283
30.3,800,5000,271.0,1.43381038647343,126.8,-2.5,111.99,32.08,4.89,1.33,3.25,11.48,11.495,11.399,11.276,3.934,3.559,实验数据记录表 - 20191031-1101.xlsx,35,30,1,1.9402154328241283,1.9402154328241283
29.8,900,5000,268.0,1.9114766940853896,112.0,25.16,124.45,20.97,2.79,0.48,3.18,8.95,8.946,8.824,8.71,3.765,3.494,实验数据记录表 - 20191031-1101.xlsx,37,30,1,1.9402154328241283,1.9301171332142149
29.8,900,5000,278.0,1.9160604204939784,118.3,26.6,118.05,24.53,4.14,1.63,3.27,8.6,8.586,8.445,8.27,3.877,3.603,实验数据记录表 - 20191031-1101.xlsx,38,30,1,1.9402154328241283,1.9301171332142149
30.0,1000,5000,278.0,1.840269726247987,133.6,15.63,101.38,19.78,5.02,2.81,3.37,8.68,8.666,8.426,8.329,3.98,3.711,实验数据记录表 - 20191031-1101.xlsx,39,30,1,1.9402154328241283,1.850498312487592
30.2,1000,5000,273.0,1.850498312487592,126.5,17.96,108.4,18.42,4.01,1.85,3.29,8.82,8.791,8.631,8.515,3.879,3.613,实验数据记录表 - 20191031-1101.xlsx,40,30,1,1.9402154328241283,1.850498312487592
30.2,1000,5000,269.0,1.834566183574879,120.1,18.84,114.62,16.72,3.23,1.2,3.25,9.02,8.968,8.871,8.864,3.793,3.567,实验数据记录表 - 20191031-1101.xlsx,41,30,1,1.9402154328241283,1.850498312487592
35.3,300,5000,555.0,0.612481884057971,88.2,35.16,135.24,33.33,1.66,20.21,2.86,7.84,7.865,7.768,7.619,3.592,3.171,35℃最优工况参数.xlsx,2,35,0,1.7239262187088271,0.612481884057971
35.0,400,5000,400.0,1.5652782000608088,102.4,35.73,135.72,35.41,4.76,16.78,3.21,8.72,8.711,8.631,8.496,3.901,3.532,35℃最优工况参数.xlsx,3,35,0,1.7239262187088271,1.5652782000608088
