feature,S1,S1_conf,ST,ST_conf,gini_importance,ST_rank,gini_rank,avg_rank
T_eva_out,0.42367457631553945,0.05327764581678659,0.45873612746548237,0.04049601999593503,0.16554132683709313,1.0,1.0,1.0
T_dis,0.25834799349614035,0.04617672390169319,0.294249538434719,0.03180591635025729,0.1361795157246276,2.0,2.0,2.0
T_suc,0.10508255475206517,0.03165647720747109,0.11959001759028694,0.012762031475264507,0.09511547787639658,3.0,3.0,3.0
T_gc_out,0.020797271400672727,0.01514263858912544,0.03201406708178064,0.004260896060175878,0.0791140440605362,5.0,5.0,5.0
compressor_speed,0.03373093057228833,0.022600267307202722,0.07289332977344612,0.00982566559991953,0.06727416563906101,4.0,7.0,5.5
P_gc_in,0.016253692278957753,0.012109075478440838,0.021848977949005532,0.0029397794305960883,0.0813308020544921,7.0,4.0,5.5
P_dis,0.0030241616038070226,0.011280091838395498,0.021341225279544785,0.0029190834198822616,0.07715497478727809,8.0,6.0,7.0
P_eva_in,0.02203748828395743,0.012703405478964286,0.023261905952870286,0.002279422225566347,0.036504900556241476,6.0,13.0,9.5
T_eva_in,0.0057547562448457,0.010466657099301856,0.01373312688323145,0.0017108951214265125,0.049477589743004785,9.0,10.0,9.5
P_eva_out,0.009555734731931007,0.008467458022687117,0.012627191552877233,0.001714919129918742,0.045742401208066066,10.0,11.0,10.5
P_gc_out,0.007574152265247559,0.009471775636226141,0.010921021889834563,0.0014303702492152463,0.053836060653060354,12.0,9.0,10.5
P_suc,0.003149569215281985,0.005807802476831433,0.006007270949172185,0.0007726966924629241,0.05457055864141432,13.0,8.0,10.5
P_valve_in,0.009214912039114205,0.009598024521579117,0.012351058189151016,0.0019445932261088344,0.04369011957844768,11.0,12.0,11.5
T_amb,0.001463894377636464,0.0034352846600157506,0.0016834057327309142,0.00023274642424451613,0.01446806264028067,14.0,14.0,14.0
