feature,S1,S1_conf,ST,ST_conf,rank
T_dis[degC],0.8187376920677131,0.11876864155136813,0.8673942528902501,0.0790813687315345,1
T_gc_mid[degC],0.03878457670411991,0.018966032206793156,0.0507728487292903,0.0065122693154937355,2
T_gc_out[degC],0.025080022398007464,0.014898339749652618,0.02820084725750519,0.004364265596733956,3
T_eva_in[degC],0.022199561143840876,0.014568077884909311,0.02387220642925991,0.0034360780553725745,4
T_suc[degC],0.017338704343023315,0.0137649850479773,0.021507707954966697,0.004056943518571491,5
P_gc_out[bar],0.0035218911432972526,0.011848588404779332,0.016422252865293367,0.003634122036029287,6
P_gc_mid[bar],0.008575376777426503,0.011309355429781393,0.015423266724326111,0.002015282197888614,7
P_dis[bar],0.017555173828748362,0.01071304742657218,0.014556481068353647,0.001948979668169639,8
P_eva_in[bar],0.009039334265263245,0.008865540005699715,0.012972164599765114,0.0018200465004831108,9
T_amb[degC],0.010085647806724827,0.008797239179274307,0.009949357595224652,0.0017971144917240415,10
P_suc[bar],-0.00021806180893305858,0.008044892488900616,0.0050131432536433965,0.0011464392104919758,11
P_eva_out[bar],0.0010272631492354736,0.003726127913898106,0.0020663627228715317,0.00030690945851662344,12
T_eva_out[degC],-0.0013632726456551426,0.003442588862543934,0.0011854466806070151,0.00024727226413090263,13
